City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,lerdo de tejada,18.6167,-95.5167,25.16,90,100,2.62,MX,1722145331
147,papatowai,-46.5619,169.4708,9.28,95,100,1.15,NZ,1722145331
148,tarauaca,-8.1614,-70.7656,23.67,67,22,0.95,BR,1722145331
149,chahuites,16.2833,-94.1833,26.49,83,99,1.74,MX,1722145332
150,labrador city,52.9463,-66.9114,17.88,86,100,6.26,CA,1722145332
151,carutapera,-1.195,-46.02,24.76,81,9,3.51,BR,1722145332
152,mikun',62.3547,50.0771,16.53,64,98,3.7,RU,1722145333
153,avarua,-21.2078,-159.775,25.03,78,75,9.77,CK,1722145333
154,olonkinbyen,70.9221,-8.7187,4.65,99,100,4.06,SJ,1722145333
155,askino,56.0901,56.5783,13.65,74,100,6.35,RU,1722145334
156,amos,48.5669,-78.1162,17.31,79,100,3.38,CA,1722145334
157,jiaojiang,28.6803,121.4428,30.56,74,1,6.79,CN,1722145335
158,tazovsky,67.4667,78.7,18.9,47,11,6.41,RU,1722145335
159,college,64.8569,-147.8028,12.18,90,100,5.14,US,1722145310
160,pemangkat,1.1667,108.9667,29.23,71,36,6.71,ID,1722145337
161,stanley,54.868,-1.6985,10.71,94,6,1.63,GB,1722145337
162,charters towers,-20.1,146.2667,21.09,53,97,5.3,AU,1722145337
163,malango,-2.9627,119.9001,25.28,81,67,1.97,ID,1722145340
164,codrington,-38.2667,141.9667,10.55,63,68,6.13,AU,1722145340
165,hithadhoo,-0.6,73.0833,28.67,75,37,3.07,MV,1722145342
166,lebu,-37.6167,-73.65,5.6,75,86,7.19,CL,1722145342
167,bangolo,7.0069,-7.475,21.76,99,100,0.78,CI,1722145343
168,santyoku,37.4406,129.1708,32.84,55,100,2.9,KR,1722145345
169,chickasha,35.0526,-97.9364,26.17,73,0,0.0,US,1722145350
170,nema,57.5067,50.5011,17.85,47,77,5.9,RU,1722145350
171,toropets,56.4978,31.6353,19.35,82,73,2.71,RU,1722145351
172,xinmin,41.9908,122.8253,25.01,96,100,3.41,CN,1722145351
173,arauca,7.0847,-70.7591,23.0,100,82,1.54,CO,1722145352
174,lowestoft,52.4752,1.7516,14.57,85,4,1.34,GB,1722145352
175,minas de marcona,-15.2119,-75.1103,9.43,91,74,5.29,PE,1722145353
176,kailua-kona,19.6406,-155.9956,23.11,97,29,1.75,US,1722145089
177,vorkuta,67.5,64.0,20.55,51,91,6.49,RU,1722145353
178,hamilton,39.1834,-84.5333,21.16,79,0,0.0,US,1722145354
179,holualoa,19.6228,-155.9522,21.04,97,34,1.69,US,1722145083
180,san patricio,28.017,-97.5169,28.27,88,87,2.69,US,1722145354
181,beyneu,45.3167,55.2,26.35,24,61,3.46,KZ,1722145355
182,weno,7.4515,151.8468,28.19,77,90,3.18,FM,1722145355
183,tolanaro,-25.0319,46.9987,19.04,88,20,2.06,MG,1722145356
184,turkmenbasy,40.0222,52.9552,30.43,30,0,5.14,TM,1722145356
185,hami,42.8,93.45,38.76,11,74,2.88,CN,1722145356
186,crete,35.1558,24.895,23.0,49,0,4.13,GR,1722145357
187,padang,-0.9492,100.3543,32.03,62,58,3.85,ID,1722145357
188,road town,18.4167,-64.6167,27.08,76,65,6.0,VG,1722145357
189,cadale,2.7603,46.3222,25.79,77,57,7.26,SO,1722145358
190,bikenibeu village,1.3673,173.1241,29.98,74,20,4.12,KI,1722145362
191,korla,41.7597,86.1469,37.01,15,0,2.91,CN,1722145372
192,whitehorse,60.7161,-135.0538,16.43,44,75,6.69,CA,1722145328
193,illizi,26.4833,8.4667,38.89,30,1,6.23,DZ,1722145373
194,oryahovo,43.7333,23.9667,26.11,39,0,2.89,BG,1722145374
195,hermanus,-34.4187,19.2345,7.11,70,99,11.83,ZA,1722145374
196,geraldton,-28.7667,114.6,21.23,68,20,8.75,AU,1722145374
197,puerto gaitan,4.3133,-72.0816,24.59,82,84,1.43,CO,1722145375
198,flying fish cove,-10.4217,105.6791,26.82,78,100,6.69,CX,1722145375
199,petauke,-14.2426,31.3253,18.99,21,0,2.42,ZM,1722145375
200,veraval,20.9,70.3667,27.98,88,100,6.84,IN,1722145376
201,susuman,62.7833,148.1667,17.86,37,98,1.52,RU,1722145376
202,gadzhiyevo,69.2551,33.3362,17.69,59,67,4.78,RU,1722145377
203,adrar,20.5022,-10.0711,31.63,15,1,4.26,MR,1722145377
204,zabol,32.25,67.25,33.45,20,0,3.18,AF,1722145377
205,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1722145378
206,uturoa,-16.7333,-151.4333,26.69,83,7,6.83,PF,1722145378
207,ibusuki,31.2333,130.65,33.39,74,59,4.46,JP,1722145378
208,badiyah,22.45,58.8,39.1,21,79,1.23,OM,1722145379
209,fredrikstad,59.2181,10.9298,16.27,82,73,4.12,NO,1722145379
210,turpan,42.9333,89.1667,43.84,11,3,1.33,CN,1722145379
211,san luis,-33.295,-66.3356,7.02,64,79,9.41,AR,1722145380
212,elliot lake,46.3834,-82.6331,14.02,96,10,0.44,CA,1722145380
213,mawu,34.4307,104.9176,16.61,66,100,2.23,CN,1722145380
214,zambezi,-13.5432,23.1047,15.39,23,0,1.87,ZM,1722145381
